Device ID,NMOS3_C8R5,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
6,4.15028E-09,-3.13E-13,0.1
5.889,3.19037E-09,-3.24E-13,0.1
5.778,2.43307E-09,-3.5E-13,0.1
5.667,1.84924E-09,-3.42E-13,0.1
5.556,1.37616E-09,-3.67E-13,0.1
5.444,0.000000001,-3.91E-13,0.1
5.333,7.4909E-10,-4.03E-13,0.1
5.222,5.67637E-10,-2.82E-13,0.1
5.111,4.09719E-10,-3.43E-13,0.1
5,2.98002E-10,-3.49E-13,0.1
4.889,2.12526E-10,-3.34E-13,0.1
4.778,1.51207E-10,-3.82E-13,0.1
4.667,1.0432E-10,-3.7E-13,0.1
4.556,7.1862E-11,-3.83E-13,0.1
4.444,4.7146E-11,-4E-13,0.1
4.333,3.1092E-11,-4E-13,0.1
4.222,2.0377E-11,-4.86E-13,0.1
4.111,1.3485E-11,-4.89E-13,0.1
4,8.839E-12,-5.14E-13,0.1
3.889,5.727E-12,-5.93E-13,0.1
3.778,3.994E-12,-5.84E-13,0.1
3.667,2.739E-12,-6.29E-13,0.1
3.556,2.008E-12,-7.14E-13,0.1
3.444,1.51E-12,-8.11E-13,0.1
3.333,1.267E-12,-8.46E-13,0.1
3.222,1.142E-12,-9.44E-13,0.1
3.111,1.028E-12,-1.017E-12,0.1
3,9.3E-13,-1.108E-12,0.1
2.889,8.42E-13,-1.206E-12,0.1
2.778,7.74E-13,-1.224E-12,0.1
2.667,7.42E-13,-1.262E-12,0.1
2.556,7.56E-13,-1.248E-12,0.1
2.444,7.77E-13,-1.274E-12,0.1
2.333,5.64E-13,-1.183E-12,0.1
2.222,6.19E-13,-1.194E-12,0.1
2.111,6.02E-13,-1.192E-12,0.1
2,6.06E-13,-1.167E-12,0.1
1.8889,5.85E-13,-1.168E-12,0.1
1.7778,5.5E-13,-1.154E-12,0.1
1.6667,5.04E-13,-1.119E-12,0.1
1.5556,5.22E-13,-1.092E-12,0.1
1.4444,5.09E-13,-1.081E-12,0.1
1.3333,5E-13,-1.081E-12,0.1
1.2222,5.05E-13,-1.034E-12,0.1
1.1111,4.36E-13,-1.042E-12,0.1
1,4.41E-13,-1.022E-12,0.1
0.8889,4.4E-13,-1.014E-12,0.1
0.7778,4.52E-13,-9.74E-13,0.1
0.6667,4.26E-13,-9.74E-13,0.1
0.5556,4.16E-13,-9.89E-13,0.1
0.4444,3.84E-13,-9.48E-13,0.1
0.3333,3.71E-13,-9.46E-13,0.1
0.2222,4.07E-13,-9.19E-13,0.1
0.1111,3.71E-13,-9.11E-13,0.1
0,3.66E-13,-9.05E-13,0.1
-0.1111,3.59E-13,-9.19E-13,0.1
-0.2222,3.72E-13,-8.97E-13,0.1
-0.3333,3.58E-13,-8.87E-13,0.1
-0.4444,3.7E-13,-8.66E-13,0.1
-0.5556,3.5E-13,-8.75E-13,0.1
-0.6667,3.36E-13,-8.68E-13,0.1
-0.7778,3.37E-13,-8.24E-13,0.1
-0.8889,3.28E-13,-8.02E-13,0.1
