Device ID,EDOP3_C10R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
4.222,1.69335E-06,1.53E-13,0.1
4.333,1.72523E-06,1.75E-13,0.1
4.444,1.75527E-06,1.75E-13,0.1
4.556,1.78727E-06,1.89E-13,0.1
4.667,1.81769E-06,1.99E-13,0.1
4.778,1.84805E-06,1.81E-13,0.1
4.889,1.87914E-06,2.02E-13,0.1
5,1.91084E-06,1.72E-13,0.1
5.111,1.94244E-06,1.95E-13,0.1
5.222,1.97307E-06,1.98E-13,0.1
5.333,2.00342E-06,1.94E-13,0.1
5.444,2.03357E-06,2.21E-13,0.1
5.556,0.000002065,1.98E-13,0.1
5.667,2.09553E-06,2.15E-13,0.1
5.778,2.12652E-06,2.28E-13,0.1
5.889,2.15758E-06,2.27E-13,0.1
6,2.18808E-06,2E-13,0.1
6.111,2.21852E-06,1.64E-13,0.1
6.222,2.24819E-06,1.98E-13,0.1
6.333,0.00000228,2.82E-13,0.1
6.444,2.30579E-06,2.37E-13,0.1
6.556,0.000002337,2.33E-13,0.1
6.667,2.36757E-06,2.26E-13,0.1
6.778,2.39617E-06,2.3E-13,0.1
6.889,2.42527E-06,2.3E-13,0.1
7,0.000002455,2.29E-13,0.1
7.111,2.48309E-06,5.57E-13,0.1
7.222,2.51509E-06,1.92E-13,0.1
7.333,2.54375E-06,2.64E-13,0.1
7.444,2.57056E-06,2.03E-13,0.1
7.556,2.60069E-06,1.97E-13,0.1
7.667,2.62923E-06,3.28E-13,0.1
7.778,2.65579E-06,3.18E-13,0.1
7.889,2.68537E-06,3.11E-13,0.1
8,2.71331E-06,3.15E-13,0.1
8.111,2.73936E-06,3.17E-13,0.1
8.222,2.76419E-06,2.81E-13,0.1
8.333,2.79353E-06,2.87E-13,0.1
8.444,2.81865E-06,2.98E-13,0.1
8.556,0.000002848,3.14E-13,0.1
8.667,2.87565E-06,3.35E-13,0.1
8.778,2.90348E-06,3.33E-13,0.1
8.889,2.92944E-06,3.09E-13,0.1
9,2.95412E-06,3.14E-13,0.1
9.111,2.97845E-06,3.18E-13,0.1
9.222,3.00474E-06,3.48E-13,0.1
9.333,3.0272E-06,3.62E-13,0.1
9.444,3.05233E-06,3.5E-13,0.1
9.556,3.07662E-06,3.51E-13,0.1
9.667,3.10158E-06,3.76E-13,0.1
9.778,3.12446E-06,3.53E-13,0.1
9.889,3.14793E-06,4.39E-13,0.1
10,3.17215E-06,3.94E-13,0.1
Device ID,EDOP3_C6R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-10,7.8534E-11,-7.45E-13,0.1
-9.889,9.5305E-11,-4.17E-13,0.1
